"date","price","rate"
2018-01-21,66897.08,0.0216297413468318
2018-01-28,66861.37,-0.00053394758758607
2018-02-04,65021.36,-0.0279055400613064
2018-02-11,61952.62,-0.0483459319460735
2018-02-18,62818.71,0.0138830596861794
2018-02-25,62665.06,-0.00244892350284864
2018-03-04,60580.36,-0.0338332873985667
2018-03-11,61688.08,0.0181199712417435
2018-03-18,60391.42,-0.0212436775083198
2018-03-25,59436.36,-0.0159408815592084
2018-04-01,58377.42,-0.0179769890783845
2018-04-08,59553.13,0.0199396840606862
2018-04-15,60477.53,0.0154030357969646
2018-04-22,60144.37,-0.00552405238521381
2018-04-29,59567.47,-0.0096382190087958
2018-05-06,58883.65,-0.0115461567077855
2018-05-13,60784.11,0.0317649431419724
2018-05-20,58740.33,-0.0342018623981701
2018-05-27,58233.23,-0.00867038973241563
2018-06-03,57890.11,-0.00590959575523087
2018-06-10,59015.21,0.0192486490474781
2018-06-17,57693.09,-0.022657798315171
2018-06-24,56610.74,-0.0189386891183254
2018-07-01,55954.44,-0.011660931680824
2018-07-08,56497.02,0.00965010522084953
2018-07-15,56594.71,0.001727624545099
2018-07-22,57303.81,0.0124515957131042
2018-07-29,59650.51,0.0401355847248563
2018-08-05,59605.67,-0.000751994607123052
2018-08-12,58783.91,-0.0138825257718267
2018-08-19,58130.92,-0.0111704698191115
2018-08-26,59900.47,0.0299866433177236
2018-09-02,60201.08,0.00500594085188233
2018-09-09,57580.05,-0.044514138812465
2018-09-16,57632.29,0.000906847366870522
2018-09-23,58237.83,0.0104521426712978
2018-09-30,58974.76,0.0125744121855842
2018-10-07,58415.84,-0.00952246983056781
2018-10-14,56516.02,-0.0330629481483218
2018-10-21,56642.84,0.00224145158578715
2018-10-28,54027.32,-0.0472757448185437
2018-11-04,56321.58,0.0415879208807262
2018-11-11,56924.39,0.0106461306046395
2018-11-18,55442.1,-0.0263846630860503
2018-11-25,56788.04,0.0239865072230998
2018-12-02,58203.39,0.0246178602885134
2018-12-09,58180.45,-0.000394212809906591
2018-12-16,58780.55,0.0102616302172684
2018-12-23,57331.35,-0.0249634233473834
2018-12-30,57690.5,0.00624492072085125
2019-01-06,57947.51,0.004445085542093
2019-01-13,59322.53,0.0234515656072798
2019-01-20,60289.51,0.0161689586900184
2019-01-27,60661.36,0.00614879697129034
2019-02-03,60660.31,-1.73093561937065e-05
2019-02-10,60280.51,-0.00628077845898467
2019-02-17,59814.26,-0.00776474017247608
2019-02-24,60274.56,0.00766603009740585
2019-03-03,60076.61,-0.00328954306805507
2019-03-10,59436.39,-0.010713916044601
2019-03-17,60706.57,0.0211452643881529
2019-03-24,60097.1,-0.0100903419753777
2019-03-31,59668.03,-0.00716522139152076
2019-04-07,60755.88,0.0180675015866356
2019-04-14,60969.26,0.00350593506920127
2019-04-21,60910.11,-0.000970631939496869
2019-04-28,60990.17,0.00131353285670954
2019-05-05,59744.3,-0.0206389148752173
2019-05-12,56913.26,-0.0485454343670728
2019-05-19,56561.79,-0.00619468550920388
2019-05-26,56753.79,0.00338876937734689
2019-06-02,57909.95,0.0201667795560674
2019-06-09,58852.53,0.0161456056078322
2019-06-16,59092.01,0.00406089725057335
2019-06-23,59433.13,0.00575609430791602
2019-06-30,60187.43,0.0126117115305675
2019-07-07,60628.11,0.00729512038549629
2019-07-14,60378,-0.00413384673172246
2019-07-21,60902.04,0.00864187151251627
2019-07-28,60146.67,-0.0124805923995979
2019-08-04,58360.55,-0.0301459314187973
2019-08-11,56316.19,-0.035658087459618
2019-08-18,55227.6,-0.0195192320890527
2019-08-25,56047.39,0.0147347545428005
2019-09-01,56739.53,0.0122735630809405
2019-09-08,56593.23,-0.00258177920072811
2019-09-15,58144.64,0.02704433256012
2019-09-22,57485.19,-0.0114063498975376
2019-09-29,57666.04,0.00314108930830237
2019-10-06,55980.47,-0.0296655588108727
2019-10-13,56895.37,0.016211087087763
2019-10-20,57024.61,0.00226896204592109
2019-10-27,57329.09,0.00532524473703155
2019-11-03,57783.02,0.00788678711425561
2019-11-10,59191.71,0.0240865374078343
2019-11-17,58751.67,-0.00746192014834612
2019-11-24,57863.03,-0.0152409121910342
2019-12-01,57502.14,-0.00625650145909162
2019-12-08,55994.68,-0.0265654782796965
2019-12-15,56729.11,0.0130307966447329
2019-12-22,57202.89,0.00831693871786321
2019-12-29,57877.81,0.0117296425585511
2020-01-05,58603.27,0.012456432930362
2020-01-12,58732.09,0.00219575841003561
2020-01-19,59039.84,0.0052262147775366
2020-01-26,58607.31,-0.00735303743106286
2020-02-02,56681.27,-0.0334156117663333
2020-02-09,57816.25,0.0198260569698263
2020-02-16,57895.19,0.00136442882824106
2020-02-23,57424.47,-0.00816378775923532
2020-03-01,49276.54,-0.153022413381487
2020-03-08,49326.23,0.0010078825210762
2020-03-15,38629.63,-0.244436389658299
2020-03-22,41153.2,0.0632820897924589
2020-03-29,40886.9,-0.00649197003129132
2020-04-05,41532.37,0.0156634048494055
2020-04-12,44499.23,0.0689987624569603
2020-04-19,45353.23,0.019009512187921
2020-04-26,44884.25,-0.0103944441389618
2020-05-03,46117,0.0270946918828532
2020-05-10,45228.14,-0.0194621860876971
2020-05-17,44348.22,-0.0196468868331579
2020-05-24,45915.72,0.0347349694298273
2020-05-31,48127.64,0.0470491061537182
2020-06-07,51494.63,0.0676208821421369
2020-06-14,50169.11,-0.0260780317346025
2020-06-21,50670.08,0.00993609967632736
2020-06-28,49725.89,-0.0188098753087793
2020-07-05,50959.44,0.0245042991712499
2020-07-12,50933.53,-0.000508572879137859
2020-07-19,51046.47,0.00221494501222708
2020-07-26,51672.44,0.0121881696183284
2020-08-02,50468.16,-0.0235819215577369
2020-08-09,51732.44,0.0247424085044567
2020-08-16,52631.64,0.0172324089243467
2020-08-23,51920.09,-0.0136116539846363
2020-08-30,52237.26,0.00609022753251764
2020-09-06,50522.18,-0.0333835855843656
2020-09-13,50737.57,0.00425421403568649
2020-09-20,49825.58,-0.0181381550405213
2020-09-27,48294.74,-0.0312058547370171
2020-10-04,49043.26,0.0153801137276552
2020-10-11,49191.09,0.00300974377280028
2020-10-18,48210.12,-0.0201435520125663
2020-10-25,47846.25,-0.0075762126026504
2020-11-01,44097.98,-0.0815787685068674
2020-11-08,48962.48,0.104640314100934
2020-11-15,50636.31,0.0336146173663998
2020-11-22,52353.64,0.0333525590130961
2020-11-29,53302.48,0.0179613922745432
2020-12-06,55304.72,0.0368753983379921
2020-12-13,55501.03,0.00354332163071547
2020-12-20,55607.24,0.001911829467792
2020-12-27,55843.46,0.00423901067869004
